"Record ID","Deal Name","Deal Stage","Deal owner","Start Date","Contract Status","Contract Term","Payment Frequency","Installment Amount","Contract Value","Total Paid","Last Payment Date","Next Payment Due","Close Date","Associated Contact","Associated Contact IDs"
"209799424720","Contact A - Partnership","Closed Won","Sales Rep 1","2025-11-03","Completed","Month to Month","One-Time","6610.49","0.0","6610.49","2025-11-03","","2025-11-30 17:33","",""
"197783918266","Contact B - Partnership","Closed Won","Sales Rep 2","2025-10-01","Active","Month to Month","Monthly","5000.0","5000.0","10000.0","2025-11-03","2025-12-03","2025-10-01 17:00","",""
"199601357523","Contact C - Partnership","Closed Won","Sales Rep 2","2025-05-29","Active","Month to Month","Monthly","5000.0","5000.0","20000.0","2025-10-13","2025-11-13","2025-05-30 01:57","",""
"190743554755","Contact D - Partnership ($2,500 / 2 weeks)","Closed Won","Sales Rep 2","2025-10-16","Active","Month to Month","Bi-weekly","5000.0","5000.0","2500.0","2025-10-16","2025-10-30","2025-10-16 19:35","Contact Person D (contact.d@example.com)","282209333957"
"196994968305","Contact E - Partnership","Closed Won","Sales Rep 2","2025-10-23","Active","3 Month Commitment","PIF","10000.0","10000.0","10000.0","2025-10-23","2026-01-23","2025-10-23 17:53","Contact Person E (contact.e@example.com)","284982894318"
"203234257605","Contact F - Partnership","Closed Won","Sales Rep 2","2025-10-29","Active","3 Month Commitment","Monthly","5000.0","15000.0","5000.0","2025-10-29","2025-11-29","2025-10-31 21:05","Contact Person F (contact.f@example.com)","300808838883"
"203234967226","Contact G - Partnership","Closed Won","Sales Rep 2","2025-10-29","Active","3 Month Commitment","Monthly","5000.0","15000.0","5000.0","2025-10-29","2025-11-29","2025-10-29 16:03","Contact Person G (contact.g@example.com)","293877315287"
"190742843082","Contact H - Partnership ($5,000 / month) 6 month","Closed Won","Sales Rep 2","2025-10-16","Active","3 Month Commitment","Monthly","5000.0","15000.0","5000.0","2025-10-16","2025-11-16","2025-10-17 01:11","Contact Person H (contact.h@example.com)","271572628160"
"200822599365","Contact I - Partnership","Closed Won","Sales Rep 2","2025-10-27","Active","6 Month Commitment","Monthly","5000.0","30000.0","5000.0","2025-10-27","2025-11-27","2025-10-28 01:54","Contact Person I (contact.i@example.com)","297771366089"
"202064426714","Contact J - Partnership","Closed Won","Sales Rep 2","2025-10-28","Active","6 Month Commitment","Monthly","6500.0","39000.0","6500.0","2025-10-28","2025-11-28","2025-10-28 16:55","Contact Person J (contact.j@example.com)","301658256071"
